"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YAR035C-A",0.812695036248749,0.289235653476489,0.674182353014035,0.161697227916984,0.269284601352251
"YAR035W",9.6822597381496,-0.70012177569714,0.615691582259657,0.0698424028433959,0.138384980309846
"YAR042W",113.698748103991,-0.0101776896439742,0.224133238794963,0.960050896867176,0.973770576237174
"YAR050W",49.2756984506148,0.31426151406643,0.285716615636291,0.212061775484546,0.331840500115188
"YAR064W",1.57637812736403,0.399974193124874,0.743433064261098,0.106680800743749,0.194089390916763
"YAR066W",4.04936385550234,-0.0433134445176179,0.49854262447982,0.880919682853485,0.923842242598501
"YAR068W",21.5762321851922,-2.57403247622488,0.516258831565759,7.33591710088992e-08,8.42711710125351e-07
"YAR071W",4.33494754730294,0.0804115087179412,0.621989032456197,0.126673830148747,0.222060974815298
"YBL001C",248.484460338466,1.26082076171968,0.206207367675843,1.92030512265736e-10,3.5227258896256e-09
"YBL002W",353.892469655474,-0.494278779285093,0.221637780151606,0.0163453826832716,0.0426482151237047
"YBL003C",489.75821176598,0.623988550282443,0.147717186491487,1.30956158420907e-05,9.22884889486343e-05
"YBL004W",269.425397157826,-0.660526648715988,0.213243511200817,0.000935557178503698,0.00393079062596127
"YBL005W",58.3303543615317,-0.0222541733654335,0.242301864662229,0.91895310053985,0.948545426838398
"YBL005W-A",2.44957959664422,-0.0758910249500664,0.621263075490826,0.223658983238374,0.346351911186283
"YBL006C",81.3979793333455,-0.256472248910655,0.21329763578137,0.197891757903134,0.314957464126664
"YBL007C",291.561591213842,1.00994664882042,0.186506242831423,1.65418301789256e-08,2.14863598097505e-07
"YBL008W",52.4458609865519,-0.639496943746674,0.29426637526096,0.0138568389068338,0.0373483153537718
"YBL008W-A",1.39563907600888,0.443682329752818,0.789162464035417,0.0755847019096199,0.147555989779029
"YBL009W",20.6248709741454,0.571677154103767,0.389156582328561,0.0677776866467295,0.135011883657802
"YBL010C",22.8406465120394,-0.437383648861183,0.351632279731964,0.136033515687928,0.235218045397745
"YBL011W",117.253033382256,1.24242989356965,0.297273792772096,5.32792604855008e-06,4.20372098863823e-05
"YBL013W",5.00997927015248,0.38518225569552,0.570300898426298,0.245469775718798,0.37331352468334
"YBL014C",57.861972761835,-0.405049582038567,0.271488073838564,0.0956653862986956,0.177847531372879
"YBL015W",376.58169030984,0.888506781290998,0.201562170830602,3.49932049118896e-06,2.88560840504406e-05
"YBL016W",27.4139833483624,0.00558035099818184,0.290870267273061,0.98369652067148,0.989407195595578
"YBL017C",427.104724937651,-0.278605833566527,0.189996578294178,0.120535239520577,0.213751070202761
"YBL018C",33.7223684654261,-0.289262956290277,0.304967285296906,0.276382479047117,0.408071406656491
"YBL019W",49.5067898053462,-0.451070089915282,0.294824682516724,0.0812874688933984,0.15638460456355
"YBL020W",123.624580751232,-0.775144995193964,0.231025171523298,0.000307314335155669,0.00149556590201471
"YBL021C",47.5082198039524,-0.508007673684814,0.259749085918495,0.030642999834435,0.070784023639249
"YBL022C",392.321342770003,1.06157031450838,0.161524248164724,1.31630953997178e-11,2.97266571110294e-10
"YBL023C",40.1240287905865,-0.738971453447793,0.339021778487725,0.0109800792986802,0.0307627973584263
"YBL024W",82.5818212665534,-0.0534827148102888,0.211824479248601,0.786919041702809,0.85754182537601
"YBL025W",15.936338277559,-0.858849211044265,0.519571129211952,0.0261073657383752,0.0624356656767721
"YBL026W",45.5456752329307,0.331623610312615,0.316898380363131,0.225945004984723,0.349075957429105
"YBL027W",625.738880988698,-1.01570831136309,0.150924983690353,4.77310212386194e-12,1.19568213707836e-10
"YBL028C",72.6418115085917,0.399722215874982,0.297012650871306,0.126373601043662,0.221730255862952
"YBL029C-A",121.79719859883,0.991545806976835,0.274437627882193,8.38323878979225e-05,0.000484310752565324
"YBL029W",367.865442914255,0.543557322343685,0.301395146749763,0.0400764378022739,0.0882007095522912
"YBL030C",489.06128710183,0.0580293025227952,0.145192299992513,0.681625783795701,0.781415012471382
"YBL031W",7.39153850442266,0.11683023298091,0.435377397042032,0.708182580787829,0.799765881328303
"YBL032W",44.5008530443393,0.70070192097668,0.299406432251282,0.00819816878947564,0.0243050633132043
"YBL033C",201.82445821244,0.128718286155264,0.205376723608199,0.507257886655285,0.636822809062709
"YBL034C",91.4621155204156,-0.274432088427011,0.224377380284262,0.188171051298971,0.303291648511615
"YBL035C",30.1276038202215,0.0377174754790587,0.287107531151493,0.88304225638566,0.925742558918815
"YBL036C",107.919382604115,-0.603735468815195,0.228638022957826,0.00441717294848086,0.0144460697305775
"YBL037W",35.2346639525014,-0.229849558397472,0.296804243355156,0.374678384636421,0.508613963843885
"YBL038W",159.657517780843,0.625526934602112,0.242375584809903,0.00511303099257948,0.0163498134022463
"YBL039C",45.7934956094549,-1.04613350540442,0.395298836485949,0.00178814331629848,0.00682516674249137
"YBL039W-B",42.3286658959954,1.45711274822973,0.331204424917384,1.69712936003378e-06,1.49017455736692e-05
"YBL040C",88.8848221212908,-0.361721534687589,0.204223235083883,0.0593577135563828,0.121029647135142
"YBL041W",461.517983586851,0.887070931682269,0.16363617223403,2.02545523287092e-08,2.6025353660294e-07
"YBL042C",74.9435825484912,-0.627780660414292,0.265003532501418,0.00894734575923463,0.0260469118244907
"YBL043W",120.233888676181,-0.298126895703971,0.250423856971007,0.191024600292575,0.306730047655354
"YBL044W",0.567213940146963,0.0885164714530165,0.608280840568325,0.568387937572524,0.688486160871066
"YBL045C",989.541326763329,0.439466815161487,0.118440169335424,0.000152772011830319,0.000807317688847372
"YBL046W",39.6380203548546,0.255336922329477,0.281422132864612,0.308017778548958,0.442293351567651
"YBL047C",386.085289165791,0.762167938416434,0.164987545138732,1.59998181668745e-06,1.41529548829237e-05
"YBL048W",190.775043759305,1.12768158927989,0.2468463210423,1.02529832230736e-06,9.47725363968446e-06
"YBL049W",281.611885339345,-0.243382569364125,0.203690875926981,0.204162800445817,0.322612938313798
"YBL050W",216.827807654245,-0.0420970781544332,0.16963571374531,0.795497312074127,0.863417981901683
"YBL051C",242.61604331238,0.498164750664777,0.215637031569311,0.0135895375800288,0.036794492569298
"YBL052C",77.7241166947781,0.65163139804119,0.390580246176441,0.0406255424883539,0.089145927241651
"YBL054W",29.238172393504,-0.701151300444461,0.364192841013401,0.0218984369704806,0.0540614829060063
"YBL055C",41.8646382701641,-0.715285859048245,0.322515624994757,0.0110022369949537,0.0308103978224115
"YBL056W",178.40112940818,-0.437768984009863,0.230500922628094,0.0395906591271509,0.0873573315011376
"YBL057C",42.4261934578447,-0.129877869105141,0.266016781376529,0.585667493576372,0.703131211579205
"YBL058W",217.971427546699,1.01760230432563,0.185049092813848,1.10875394079387e-08,1.49895487415263e-07
"YBL059C-A",153.320981498128,0.430495029694299,0.233337438696367,0.0461901487863305,0.099166606792979
"YBL059W",48.1739590270039,0.272515567572936,0.277049393297542,0.272525800154194,0.40377704287259
"YBL060W",56.2097209531652,0.528547531017891,0.254899605513476,0.0231052686524346,0.0565723251358585
"YBL061C",65.9186686186768,-0.17172119384234,0.233375990059725,0.423442037320579,0.559645627689047
"YBL063W",75.3481079944204,0.316710858144679,0.261338265075587,0.181709349126848,0.295513131340499
"YBL064C",1478.75188034494,1.01317960122202,0.126893612077567,4.34952150624301e-16,1.81341588952593e-14
"YBL066C",210.333289073622,0.337574196336431,0.199344279073357,0.072408860150697,0.142334857968498
"YBL067C",172.69727408088,-0.0920723397941565,0.174963956879324,0.581785031660639,0.699206996319855
"YBL068W",34.7277617959536,-0.861257596828931,0.35441818191078,0.00471808259456818,0.0153209196235379
"YBL069W",16.5347021688719,-0.0745638318777554,0.356486672278732,0.795353606378119,0.863417981901683
"YBL071C",21.318697050151,-0.0626300332500954,0.343794805432845,0.825511437394226,0.885440928015886
"YBL071C-B",0.744290606130178,-0.0209509193963385,0.593938333031453,0.889703784702695,0.930762232742142
"YBL071W-A",13.3887387215102,-0.594390388136989,0.513714255181443,0.100226456235659,0.184315278247069
"YBL072C",781.382412906896,-0.701849687082602,0.192323914649718,0.00012114927973472,0.000668788894239259
"YBL074C",23.8900714169463,-0.106037696913098,0.326223166932932,0.69935548627165,0.794017902083225
"YBL075C",245.490178979776,0.730861754137027,0.166733523143932,5.2359504274378e-06,4.14564893072831e-05
"YBL076C",385.535197129543,-0.652064365112723,0.265065290347072,0.00652148097251476,0.0201039656453635
"YBL078C",195.346766471706,1.06383480930578,0.266585575837415,1.64894280977733e-05,0.000113260334468807
"YBL079W",179.990995465399,-0.238352317275891,0.198599205414935,0.203159660522834,0.321597133110682
"YBL080C",34.0019843314618,0.0805298117541942,0.276811043723813,0.745350301708645,0.828136134697529
"YBL081W",33.862380091819,-0.431372259885223,0.330506484223286,0.124318046799198,0.218767471964822
"YBL082C",48.4389059798894,-0.806099419919918,0.37276445036148,0.0100332282494121,0.0286334392260113
"YBL084C",107.068214081259,0.100722909813657,0.264773483209111,0.675792245694511,0.776763710975646
"YBL085W",126.621658704151,0.0639945547685603,0.202940061409115,0.739801915553701,0.823813787921398
"YBL086C",147.987062885246,1.57489579114134,0.273561937539782,1.25061907067989e-09,2.01518672956581e-08
"YBL087C",170.975877338157,-0.352986542084378,0.218983994514578,0.0832486076601275,0.159386062578574
"YBL088C",195.564867061171,-0.365237350000779,0.1858948922755,0.038814283997328,0.0860304763407101
"YBL089W",53.3845730333172,-0.154970785132356,0.257005257510314,0.504697318858555,0.634811268994663
"YBL090W",108.766701378121,-0.158304146803213,0.193188465899061,0.386880006857617,0.521378526420686
"YBL091C",454.66120321437,0.744683555934653,0.165702147209463,3.05647049737255e-06,2.55936476198528e-05
"YBL091C-A",37.728347358019,0.482708187140426,0.326695207418245,0.0840898890334095,0.160492545182548
"YBL092W",693.385827361426,-0.119555822419278,0.180558499244457,0.487486037971415,0.619831895582337
"YBL093C",66.4308395021872,-0.0636818795358498,0.240973921867137,0.773460106608783,0.848969583817862
"YBL095W",100.548007018999,-1.16046039474496,0.296585421442427,1.7857208340049e-05,0.000121813130575941
"YBL097W",47.5267550976889,0.101743485805722,0.281233310454909,0.685497766092234,0.783819921383337
"YBL098W",59.4753491109938,-0.45238894287092,0.243083210684933,0.0422066217485245,0.0920394582533662
"YBL099W",2854.72135757019,0.383161517874978,0.151339131385689,0.00880648315690802,0.0257109321942229
"YBL100W-A",0,NA,NA,NA,NA
"YBL100W-C",7.45146976208551,7.66591286270232,2.67780259472548,3.13205668547612e-08,3.87413318647482e-07
"YBL101C",219.886546927218,0.271654519147311,0.183733718635552,0.120476820721629,0.213711039911441
"YBL102W",57.0335947485406,0.501353500535545,0.26028088474681,0.0334730452372833,0.076054228545992
"YBL103C",80.2238913789087,0.51968615645112,0.236473917538252,0.0172571064916884,0.0444789514350381
"YBL104C",81.9521109027371,-0.0604419423978285,0.227034721376133,0.77364168884308,0.848969583817862
"YBL105C",178.804077269224,0.0512732552002872,0.177221630551371,0.763325439065498,0.841832457955698
"YBL106C",73.1978914205168,0.85729546512551,0.255540906478699,0.000251142455147989,0.00125402957922304
"YBL107C",72.8932013341091,0.0197384066969804,0.255779441560272,0.933406446515761,0.957002447829229
"YBL108C-A",5.92241831641048,0.781980937136937,0.676134994452669,0.0565409854375138,0.116618512643232
"YBL111C",1.57679728676412,-0.0606701395430391,0.616689039029189,0.650529484182339,0.757388156110059
"YBL112C",0.450339774139914,0.101715191467968,0.623550879968255,0.369183279337154,0.503101876893283
"YBL113C",13.1919371139665,1.1775447530556,0.690692094543188,0.0120194247585117,0.0332065849908464
"YBR001C",188.35742465426,0.288160439771686,0.237243339403491,0.186458005026376,0.301159447247465
"YBR002C",59.3911932918477,-0.788144817019585,0.305323589847115,0.00346407964922215,0.0118762753701337
"YBR003W",114.220268476874,-0.456625783195121,0.22884038183872,0.0306028553152236,0.0707186912361872
"YBR004C",59.9898855533167,-0.24772985439276,0.271074282095362,0.305796300528101,0.440078958888061
"YBR005W",27.9373301410473,0.660758782359236,0.35906350808836,0.0279351722099332,0.0661173071518942
"YBR006W",225.515018296502,-0.395651380301887,0.215400189465372,0.0484985760016621,0.103046511091201
"YBR007C",118.746292160011,0.725839570592124,0.286713323465277,0.00478713949054116,0.0154861235174207
"YBR008C",106.069614688572,-0.855946169603371,0.302477663678833,0.00143843448471245,0.00570209201985082
"YBR009C",639.076648324959,0.820506819552562,0.192040230786002,7.32597937402322e-06,5.5358034255927e-05
"YBR010W",792.236198693437,0.6352747943382,0.169834280159657,9.79405610871895e-05,0.000554005337003628
"YBR011C",671.264094986056,-0.274160025702889,0.208028330226251,0.160959700422153,0.268431254242483
"YBR012W-A",0,NA,NA,NA,NA
"YBR013C",13.9505516010593,-0.756919110333389,0.50035051576289,0.0416827530157433,0.0910302466959201
"YBR014C",63.9967456315165,0.0300110308917071,0.249181079265414,0.897034098490494,0.93531257348729
"YBR015C",148.228455305195,-0.229415641677956,0.219829435333802,0.26137763157751,0.391737918417576
"YBR016W",63.9952161282599,1.20878334513475,0.305345905095782,1.37622227690946e-05,9.6190354219627e-05
"YBR017C",88.4514210108136,-0.484361177679905,0.291093764445767,0.0583905205456545,0.11950713473848
"YBR018C",7.35265947714779,0.305560648153199,0.512091547574334,0.348043975488513,0.48415951058721
"YBR019C",7.75645877172312,0.102163081334445,0.448355272082667,0.740830802254338,0.824651464346595
"YBR020W",0.609108091824456,-0.115218112888344,0.626452721904401,0.322291664953097,0.45673945957936
"YBR021W",56.3922559553598,-0.79857335947851,0.303267856778552,0.00306698849283631,0.0106744806738413
"YBR022W",42.796778404369,-1.02705294028219,0.300763104810437,0.000172012819937255,0.000898021394453513
"YBR023C",123.909393179825,-0.775772213466652,0.306147743413572,0.00404651732059527,0.0134516607033797
"YBR024W",186.497154299251,1.16148621769452,0.211561222489593,8.92818686936324e-09,1.23217245636907e-07
"YBR025C",564.136324609094,-0.429743151750992,0.186039911106623,0.0148712607742902,0.0396345358678221
"YBR026C",131.448129400754,-0.784690912795625,0.226128134109365,0.00020961575698717,0.00107365046663016
"YBR027C",6.75184750625748,0.193150986462497,0.465028720305622,0.540564685801024,0.664692844964897
"YBR028C",61.3027129646137,-0.838884554197648,0.266379419509217,0.000587777318487665,0.00263087715677437
