"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YAL060W",307.917817944595,-0.367946822947151,0.242058139223753,0.111089291455126,0.175726812325672
"YAL061W",169.495525636895,-1.19253809967743,0.192396203639035,1.94797848255658e-10,1.79686699392965e-09
"YAL062W",71.632531836247,0.440511840896873,0.282842468230646,0.0966428854284767,0.15708421017573
"YAL063C",36.4568542082585,-0.0845234267284542,0.27732537494817,0.745162777685672,0.805851710604385
"YAL063C-A",0.205103223753382,-0.114936251208175,0.827024397770677,0.698421530052369,0.769158462134124
"YAL064C-A",0,NA,NA,NA,NA
"YAL064W",0,NA,NA,NA,NA
"YAL064W-B",0,NA,NA,NA,NA
"YAL065C",4.60185200218014,0.971665400066667,0.820469239223599,0.0692904854608945,0.118335684422186
"YAL067C",60.6998134661586,0.348525338879463,0.274312613918737,0.176584469860292,0.257435289937414
"YAL067W-A",0.588605038435322,-0.117833432922823,0.785924752224635,0.655204172007649,0.734686340701449
"YAL068C",1.73162442971762,0.219994608943991,0.731661206551064,0.566339696682534,0.654110281212954
"YAR002C-A",109.017275495135,0.134301510811636,0.234760080387136,0.550839366041252,0.640301091896655
"YAR002W",55.3684921662067,-0.660477737758718,0.28935496971561,0.0141947769190545,0.030387526029229
"YAR003W",46.0166523887282,-1.98852252462529,0.368138302698362,1.13870991641377e-08,8.29949697024311e-08
"YAR007C",95.7474098990496,-0.178331878477769,0.25733612616396,0.463699289440922,0.561117013121604
"YAR008W",30.4309251437438,-0.991135210166316,0.373558997342431,0.00335420844006112,0.00849523819865947
"YAR009C",0,NA,NA,NA,NA
"YAR010C",0,NA,NA,NA,NA
"YAR014C",68.484785124021,-1.74359189468404,0.282623681875102,1.47203803148942e-10,1.37775364893876e-09
"YAR015W",117.42511564193,-0.863245338814202,0.232432948512371,0.000107656429975752,0.000389943885489327
"YAR018C",12.0756416996402,-0.302932419616596,0.463438770904274,0.43050814621684,0.528016780033902
"YAR019C",38.5208590604087,-0.763682507915129,0.286422913603945,0.00451609855564238,0.0110122615904866
"YAR020C",1.47042648143856,-0.0550036030061756,0.720041493397641,0.874612115629482,0.910341730688368
"YAR023C",9.91660351847157,-0.529115272440635,0.491272264831521,0.187326848377349,0.270029659097135
"YAR027W",24.5909458350183,3.89357309699457,0.863707159356626,2.77266413047179e-06,1.37069846980703e-05
"YAR028W",2.84182321184126,4.05492158531695,2.38474428638539,0.0011054213099039,0.0031578925968601
"YAR029W",1.52147021148778,0.445794168893713,0.882661051376928,0.207643445801933,0.293080071939187
"YAR031W",0.0749827774935458,-0.0075931946437129,0.823292829154835,0.912274232414805,0.936632080772342
"YAR033W",1.26624071582701,0.22431617274863,0.838154627748943,0.482944853424733,0.579572708558426
"YAR035C-A",0.812695036248749,0.49554263834587,0.927588193783345,0.161259565912442,0.239519066260583
"YAR035W",9.6822597381496,0.976005319883221,0.747689281591231,0.0577610537123308,0.10152458792244
